; Date and time are: 2010-12-18T23:22:13
; Resolution: 670x490
time,input type,event type,target widget class,details
6779,Mouse,MouseMove,QWidget 1,233;361;
6795,Mouse,MouseMove,QWidget 1,230;362;
6829,Mouse,MouseMove,QWidget 1,227;363;
6845,Mouse,MouseMove,QWidget 1,226;364;
6862,Mouse,MouseMove,QWidget 1,225;364;
6879,Mouse,MouseMove,QWidget 1,223;364;
7186,Mouse,MouseButtonPress,QWidget 1,223;364;L
7243,Mouse,MouseButtonRelease,QWidget 1,223;364;
7249,Mouse,MouseButtonDblClick,QWidget 1,223;364;L
7265,Mouse,MouseButtonRelease,QWidget 1,223;364;
10766,Mouse,MouseMove,QWidget 1,222;364;
10782,Mouse,MouseMove,QWidget 1,215;364;
10799,Mouse,MouseMove,QWidget 1,209;363;
10816,Mouse,MouseMove,QWidget 1,206;363;
10832,Mouse,MouseMove,QWidget 1,202;363;
10849,Mouse,MouseMove,QWidget 1,197;362;
10866,Mouse,MouseMove,QWidget 1,193;362;
10882,Mouse,MouseMove,QWidget 1,193;361;
11326,Mouse,MouseButtonPress,QWidget 1,193;361;L
11371,Mouse,MouseButtonRelease,QWidget 1,193;361;
11377,Mouse,MouseButtonDblClick,QWidget 1,193;361;L
11383,Mouse,MouseButtonRelease,QWidget 1,193;361;
11551,Mouse,MouseButtonPress,QWidget 1,193;361;L
11557,Mouse,MouseButtonRelease,QWidget 1,193;361;
11783,Mouse,MouseMove,QWidget 1,191;361;
11799,Mouse,MouseMove,QWidget 1,182;361;
11816,Mouse,MouseMove,QWidget 1,172;358;
11833,Mouse,MouseMove,QWidget 1,160;357;
11849,Mouse,MouseMove,QWidget 1,154;355;
11866,Mouse,MouseMove,QWidget 1,129;348;
11883,Mouse,MouseMove,QWidget 1,112;342;
11900,Mouse,MouseMove,QWidget 1,93;331;
11916,Mouse,MouseMove,QWidget 1,86;328;
11933,Mouse,MouseMove,QWidget 1,79;323;
11949,Mouse,MouseMove,QWidget 1,72;319;
11966,Mouse,MouseMove,QWidget 1,65;312;
12316,Mouse,MouseButtonPress,QWidget 1,65;312;L
12384,Mouse,MouseButtonRelease,QWidget 1,65;312;
12390,Mouse,MouseButtonDblClick,QWidget 1,65;312;L
12408,Mouse,MouseButtonRelease,QWidget 1,65;312;
12554,Mouse,MouseButtonPress,QWidget 1,65;312;L
12560,Mouse,MouseButtonRelease,QWidget 1,65;312;
12800,Mouse,MouseMove,QWidget 1,65;311;
12817,Mouse,MouseMove,QWidget 1,65;304;
12833,Mouse,MouseMove,QWidget 1,66;293;
12851,Mouse,MouseMove,QWidget 1,69;280;
12867,Mouse,MouseMove,QWidget 1,72;262;
12883,Mouse,MouseMove,QWidget 1,74;249;
12900,Mouse,MouseMove,QWidget 1,79;229;
12917,Mouse,MouseMove,QWidget 1,80;223;
12934,Mouse,MouseMove,QWidget 1,83;213;
12950,Mouse,MouseMove,QWidget 1,84;206;
12967,Mouse,MouseMove,QWidget 1,84;203;
12984,Mouse,MouseMove,QWidget 1,84;200;
13334,Mouse,MouseMove,QWidget 1,84;202;
13351,Mouse,MouseMove,QWidget 1,84;206;
13367,Mouse,MouseMove,QWidget 1,84;210;
13384,Mouse,MouseMove,QWidget 1,84;217;
13401,Mouse,MouseMove,QWidget 1,84;220;
13418,Mouse,MouseMove,QWidget 1,84;225;
13434,Mouse,MouseMove,QWidget 1,84;229;
13451,Mouse,MouseMove,QWidget 1,84;231;
13467,Mouse,MouseMove,QWidget 1,84;232;
13745,Mouse,MouseButtonPress,QWidget 1,84;232;L
13792,Mouse,MouseButtonRelease,QWidget 1,84;232;
13798,Mouse,MouseButtonDblClick,QWidget 1,84;232;L
13814,Mouse,MouseButtonRelease,QWidget 1,84;232;
14273,Mouse,MouseButtonPress,QWidget 1,84;232;L
14279,Mouse,MouseButtonRelease,QWidget 1,84;232;
14435,Mouse,MouseMove,QWidget 1,86;232;
14452,Mouse,MouseMove,QWidget 1,88;232;
14468,Mouse,MouseMove,QWidget 1,91;233;
14485,Mouse,MouseMove,QWidget 1,92;233;
14502,Mouse,MouseMove,QWidget 1,93;233;
14519,Mouse,MouseMove,QWidget 1,94;233;
14535,Mouse,MouseMove,QWidget 1,94;234;
14618,Mouse,MouseMove,QWidget 1,95;234;
14635,Mouse,MouseMove,QWidget 1,96;234;
14651,Mouse,MouseMove,QWidget 1,98;234;
14668,Mouse,MouseMove,QWidget 1,100;234;
14685,Mouse,MouseMove,QWidget 1,102;234;
14702,Mouse,MouseMove,QWidget 1,104;235;
14719,Mouse,MouseMove,QWidget 1,107;235;
14735,Mouse,MouseMove,QWidget 1,109;235;
14752,Mouse,MouseMove,QWidget 1,110;235;
14785,Mouse,MouseMove,QWidget 1,110;236;
14818,Mouse,MouseMove,QWidget 1,112;237;
14852,Mouse,MouseMove,QWidget 1,113;238;
14868,Mouse,MouseMove,QWidget 1,114;240;
14885,Mouse,MouseMove,QWidget 1,115;241;
15163,Mouse,MouseButtonPress,QWidget 1,115;241;L
15230,Mouse,MouseButtonRelease,QWidget 1,115;241;
15236,Mouse,MouseButtonDblClick,QWidget 1,115;241;L
15256,Mouse,MouseButtonRelease,QWidget 1,115;241;
15377,Mouse,MouseButtonPress,QWidget 1,115;241;L
15383,Mouse,MouseButtonRelease,QWidget 1,115;241;
15669,Mouse,MouseMove,QWidget 1,117;241;
15686,Mouse,MouseMove,QWidget 1,125;241;
15702,Mouse,MouseMove,QWidget 1,143;241;
15720,Mouse,MouseMove,QWidget 1,165;241;
15736,Mouse,MouseMove,QWidget 1,189;241;
15753,Mouse,MouseMove,QWidget 1,216;241;
15769,Mouse,MouseMove,QWidget 1,233;241;
15786,Mouse,MouseMove,QWidget 1,251;241;
15802,Mouse,MouseMove,QWidget 1,261;241;
15819,Mouse,MouseMove,QWidget 1,268;241;
15836,Mouse,MouseMove,QWidget 1,270;241;
15853,Mouse,MouseMove,QWidget 1,271;241;
16203,Mouse,MouseMove,QWidget 1,270;241;
16220,Mouse,MouseMove,QWidget 1,267;241;
16236,Mouse,MouseMove,QWidget 1,265;241;
16253,Mouse,MouseMove,QWidget 1,263;241;
16270,Mouse,MouseMove,QWidget 1,259;242;
16286,Mouse,MouseMove,QWidget 1,257;242;
16303,Mouse,MouseMove,QWidget 1,256;242;
16320,Mouse,MouseMove,QWidget 1,255;242;
16353,Mouse,MouseMove,QWidget 1,255;243;
16659,Mouse,MouseButtonPress,QWidget 1,255;243;L
16717,Mouse,MouseButtonRelease,QWidget 1,255;243;
16724,Mouse,MouseButtonDblClick,QWidget 1,255;243;L
16742,Mouse,MouseButtonRelease,QWidget 1,255;243;
17304,Mouse,MouseMove,QWidget 1,254;248;
17321,Mouse,MouseMove,QWidget 1,247;261;
